state,price,name,fuel_type,transmmision,make,model,year,condition,millage,engine_size
Oyo State,1687500,Volkswagen Passat 2007 Silver,Petrol,Automatic,Volkswagen,Passat,2007,Nigerian Used,263867,2000
Lagos State,6750000,Lincoln Navigator 2005 White,Petrol,Automatic,Lincoln,Navigator,2005,Nigerian Used,121222,5400
Lagos State,1687500,Jeep Grand Cherokee 2000 Gray,Petrol,Automatic,Jeep,Grand Cherokee,2000,Nigerian Used,4000,
Lagos State,5400000,Audi Q7 2014 Gray,Petrol,Automatic,Audi,Q7,2014,Nigerian Used,101182,3600
Kwara State,3375000,Ford Edge 2008 Gray,Petrol,Automatic,Ford,Edge,2008,Nigerian Used,578068,3500
Lagos State,4005000,Lexus RX 330 2004 Green,Petrol,Automatic,Lexus,RX 330,2004,Nigerian Used,202554,3300
Kaduna State,2250000,Peugeot 206 CC Automatic 2003 Blue,Petrol,Automatic,Peugeot,206,2003,Foreign Used,160932,1600
Lagos State,4275000,Toyota Camry 2009 Silver,Petrol,Automatic,Toyota,Camry,2009,Nigerian Used,157150,2400
Lagos State,3375000,Mercedes-Benz E500 2005 Gold,Petrol,Automatic,Mercedes-Benz,E500,2005,Nigerian Used,124523,4800
Lagos State,1653750,Hyundai Elantra 2010 Gray,Petrol,Automatic,Hyundai,Elantra,2010,Nigerian Used,206463,2000
Lagos State,8775000,Lexus RX 2010 Gray,Petrol,Automatic,Lexus,RX,2010,Nigerian Used,125777,3500
Lagos State,2250000,Lexus RX 300 2002 Gray,Petrol,Automatic,Lexus,RX 300,2002,Nigerian Used,159323,3000
Lagos State,1068750,Mercedes-Benz A-Class 2003 Gray,Petrol,Manual,Mercedes-Benz,A-Class,2003,Nigerian Used,303972,1600
Rivers State,3037500,Hyundai Accent 2011 Black,Petrol,Automatic,Hyundai,Accent,2011,Nigerian Used,80826,1400
Anambra State,4542187,Mercedes-Benz GL-Class GL 450 2007 Black,Petrol,Automatic,Mercedes-Benz,GL-Class,2007,Nigerian Used,280610,4700
Lagos State,6187500,Hyundai Elantra 2011 White,Petrol,Automatic,Hyundai,Elantra,2011,Foreign Used,307444,1800
Anambra State,4500000,Toyota RAV4 2.5 Sport 2010 White,Petrol,Automatic,Toyota,RAV4,2010,Nigerian Used,127710,2500
Lagos State,14062500,Toyota Venza 2009 White,Petrol,Automatic,Toyota,Venza,2009,Foreign Used,294694,3500
Lagos State,2250000,Skoda Superb 2012 Silver,Petrol,Automatic,Skoda,Superb,2012,Nigerian Used,58013,2000
Oyo State,3375000,Mitsubishi Outlander 2010 Black,Petrol,Automatic,Mitsubishi,Outlander,2010,Nigerian Used,147766,2400
Lagos State,4500000,Toyota Camry 2009 Gray,Petrol,Automatic,Toyota,Camry,2009,Foreign Used,115932,2400
Oyo State,1743750,Toyota RAV4 2002 Silver,Petrol,Automatic,Toyota,RAV4,2002,Nigerian Used,149896,2000
